ID zgłoszenia;Tytuł zgłoszenia;Deskrypcjon;Dopasowana reguła;Typ zgłoszenia;Data utworzenia zgłoszenia;Oczekiwany wynik;Pewność
1001; Klawiatura numeryczna nie dziala;Opis:  Klawiatura numeryczna nie dziala Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Sprzęt działa poprawnie po wymianie.;Inne;[System] Incident;2025-11-01 16:40:02;0;0
1002;Problem techniczny: Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje wymagany serwis on-site;Opis: Problem techniczny: Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje wymagany serwis on-site Działanie naprawcze: Zrestartowano kiosk (odcięcie zasilania). Podsumowanie: Aplikacja działa stabilnie po restarcie.;Kiosk - Awaria dotyku;[System] Incident;2025-11-01 13:40:01;6;0,9
1003;Brak dostępu do dysku sieciowego Z:;Opis: Brak dostępu do dysku sieciowego Z: Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Dostęp do zasobów sieciowych przywrócony.;Inne;[System] Incident;2025-11-01 13:53:50;0;0
1004;mysz bezprzewodowa nie paruje sie z odbiornikiem;Opis: mysz bezprzewodowa nie paruje sie z odbiornikiem Działanie naprawcze: Wymieniono sprzęt na zapasowy z magazynu IT. Podsumowanie: Sprzęt działa poprawnie po wymianie.;Inne;[System] Incident;2025-11-01 18:04:13;0;0
1005;Awaria switcha w szafie rack;Opis: Awaria switcha w szafie rack Działanie naprawcze: Przełączono na łącze zapasowe. Podsumowanie: Dostęp do internetu i intranetu przywrócony.;Inne;[System] Incident;2025-11-01 21:39:07;0;0
1006;Skaner dokumentów nie pobiera kartek;Opis: Skaner dokumentów nie pobiera kartek Działanie naprawcze: Przeczyszczono styki i sprawdzono okablowanie. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.;Inne;[System] Incident;2025-11-01 18:16:18;0;0
1007;Incydent: Uszkodzona matryca w laptopie sluzbowym;Opis: Incydent: Uszkodzona matryca w laptopie sluzbowym Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Sprzęt działa poprawnie po wymianie.;Inne;[System] Incident;2025-11-01 11:59:19;0;0
1008;Utrata połączenia z serwerem plików;Opis: Utrata połączenia z serwerem plików Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Połączenie sieciowe stabilne, parametry w normie.;Inne;[System] Incident;2025-11-01 09:20:40;0;0
1009;Błąd systemu: Nieudana aktualizacja systemu Windows;Opis: Błąd systemu: Nieudana aktualizacja systemu Windows Działanie naprawcze: Przeinstalowano pakiet oprogramowania biurowego. Podsumowanie: Problem rozwiązany, użytkownik może pracować.;Inne;[System] Incident;2025-11-01 17:38:56;0;0
1010;Opóźnienie replikacji cennika z serwera centralnego kasa nr 9 - błąd powtarzalny.;Opis: Opóźnienie replikacji cennika z serwera centralnego kasa nr 9 - błąd powtarzalny. Działanie naprawcze: Wymuszono pełną synchronizację bazy produktów. Podsumowanie: Problem rozwiązany, promocje są widoczne.;System - Opóźnienie replikacji;[System] Incident;2025-11-01 17:30:46;3;0,9
