ID zgłoszenia,Tytuł zgłoszenia,Deskrypcjon,Dopasowana reguła,Typ zgłoszenia,Priorytet,Typ żądania,Data utworzenia zgłoszenia,Oczekiwany wynik,Pewność
1001,Utrata sygnału wideo na kontrolerze KDS ekran ekspedycji brak sygnalu wideo - stanowisko nieczynne.,Opis: Utrata sygnału wideo na kontrolerze KDS ekran ekspedycji brak sygnalu wideo - stanowisko nieczynne. Działanie naprawcze: Zrestartowano kontroler KDS. Podsumowanie: Zamówienia wyświetlają się poprawnie i bez opóźnień.,KDS - Brak sygnału wideo,[System] Incident,High,Report a system problem,01.11.2025 09:23:46,3,0.9
1002,Prośba o wsparcie: Drukarka sieciowa w biurze offline,Opis: Prośba o wsparcie: Drukarka sieciowa w biurze offline Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,Low,Report a system problem,01.11.2025 14:28:56,0,0.0
1003,Niska przepustowość łącza internetowego,Opis: Niska przepustowość łącza internetowego Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Awaria infrastruktury usunięta.,Inne,[System] Incident,High,Report a system problem,01.11.2025 12:12:21,0,0.0
1004,Prośba o wsparcie: Błąd enumeracji urządzenia USB (Skaner) czytnik kodów,"Opis: Prośba o wsparcie: Błąd enumeracji urządzenia USB (Skaner) czytnik kodów Działanie naprawcze: Zeskanowano kody konfiguracyjne przywracające ustawienia fabryczne. Podsumowanie: Sterownik zainstalowany ponownie, urządzenie wykryte.",Skaner - Błąd sterownika,[System] Incident,Medium,Report a system problem,01.11.2025 15:32:39,4,0.9
1005,awaria: Zablokowane konto domenowe AD,Opis: awaria: Zablokowane konto domenowe AD Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 14:53:31,0,0.0
1006,Zgłoszenie awarii: Brak dostępu do folderu współdzielonego,Opis: Zgłoszenie awarii: Brak dostępu do folderu współdzielonego Działanie naprawcze: Zwiększono limit quota dla skrzynki pocztowej. Podsumowanie: Problem z logowaniem rozwiązany.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 12:17:31,0,0.0
1007,Zablokowane konto domenowe AD,Opis: Zablokowane konto domenowe AD Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 17:50:36,0,0.0
1008,Artefakty graficzne w interfejsie użytkownika - stanowisko nieczynne.,Opis: Artefakty graficzne w interfejsie użytkownika - stanowisko nieczynne. Działanie naprawcze: Zmieniono rozdzielczość ekranu i przywrócono ustawienia domyślne. Podsumowanie: Przyciski funkcyjne są widoczne i aktywne.,POS - Błąd interfejsu,[System] Incident,Medium,Report a system problem,01.11.2025 07:17:19,3,0.9
1009,Wymagany serwis: Uszkodzone gniazdo LAN w ścianie,Opis: Wymagany serwis: Uszkodzone gniazdo LAN w ścianie Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Medium,Report broken hardware,01.11.2025 10:17:36,0,0.0
1010,zgłoszenie awarii: Konto użytkownika wygasło użytkownik Fabian,"Opis: zgłoszenie awarii: Konto użytkownika wygasło użytkownik Fabian Działanie naprawcze: Odblokowano konto po weryfikacji tożsamości. Podsumowanie: Dostęp przywrócony, uprawnienia zaktualizowane.",Dostęp - Błąd autoryzacji POS,[System] Service request,Medium,Report a system problem,01.11.2025 17:55:47,4,0.9
1011,Błąd synchronizacji hasła,Opis: Błąd synchronizacji hasła Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,Low,Report a system problem,01.11.2025 09:52:11,0,0.0
