key,title,created,issue_type,title_clean,title_lower,category,confidence
SD-164341,Brak możliwości wyboru wprowadzania inwentaryzacji: Dzienna/Tygodniowa/Miesięczna,2025-07-02 23:59:04.838000+02:00,Incydent,Brak możliwości wyboru wprowadzania inwentaryzacji: Dzienna/Tygodniowa/Miesięczna,brak możliwości wyboru wprowadzania inwentaryzacji: dzienna/tygodniowa/miesięczna,inne,0.5
SD-164340,Zamiana DT rest pyta czy można zatrzymać aktualizacje,2025-07-02 23:56:43.070000+02:00,Incydent,Zamiana DT rest pyta czy można zatrzymać aktualizacje,zamiana dt rest pyta czy można zatrzymać aktualizacje,inne,0.5
SD-164339,Pytanie na temat wdrożenia nowej wersji Sesame,2025-07-02 23:56:34.610000+02:00,Incydent,Pytanie na temat wdrożenia nowej wersji Sesame,pytanie na temat wdrożenia nowej wersji sesame,inne,0.5
SD-164338,Zapytanie na temat aktualizacji ,2025-07-02 23:51:37.070000+02:00,Incydent,Zapytanie na temat aktualizacji,zapytanie na temat aktualizacji,inne,0.5
SD-164337,Zamiana linii na DT.,2025-07-02 23:51:30.387000+02:00,Incydent,Zamiana linii na DT.,zamiana linii na dt.,inne,0.5
SD-164336,Pytanie o aktualizacje sesame ,2025-07-02 23:50:00.488000+02:00,Usługa,Pytanie o aktualizacje sesame,pytanie o aktualizacje sesame,inne,0.5
SD-164334,Problem z otwarciem dnia.,2025-07-02 23:45:54.306000+02:00,Incydent,Problem z otwarciem dnia.,problem z otwarciem dnia.,inne,0.5
SD-164333,"POS20 - Admin logon, nie moze sie uruchomic ",2025-07-02 23:45:00.473000+02:00,Incydent,"POS20 - Admin logon, nie moze sie uruchomic","pos20 - admin logon, nie moze sie uruchomic",inne,0.5
SD-164332,Rest zgłasza przygotowanie do wdrożenia aktualizacji sesame.,2025-07-02 23:41:04.454000+02:00,Usługa,Rest zgłasza przygotowanie do wdrożenia aktualizacji sesame.,rest zgłasza przygotowanie do wdrożenia aktualizacji sesame.,inne,0.5
SD-164330,Waystation - Nieprawidłowy dzień biznesowy,2025-07-02 23:31:01.405000+02:00,Incydent,Waystation - Nieprawidłowy dzień biznesowy,waystation - nieprawidłowy dzień biznesowy,Waystation – Nieprawidłowy dzień biznesowy,0.9
SD-164329,Prośba o zablokowanie MOP.,2025-07-02 23:30:04.197000+02:00,Usługa,Prośba o zablokowanie MOP.,prośba o zablokowanie mop.,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164328,Terminal POS03 - nie uruchamia się,2025-07-02 23:21:58.359000+02:00,Incydent,Terminal POS03 - nie uruchamia się,terminal pos03 - nie uruchamia się,inne,0.5
SD-164327,"Problem z zamknięciem POS06 - nie przeszło na kasie, z której był zamykany dzień.",2025-07-02 23:17:14.427000+02:00,Incydent,"Problem z zamknięciem POS06 - nie przeszło na kasie, z której był zamykany dzień.","problem z zamknięciem pos06 - nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-164326,Newpos - CSO26 loading medias,2025-07-02 23:17:05.433000+02:00,Incydent,Newpos - CSO26 loading medias,newpos - cso26 loading medias,inne,0.5
